"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0.084,0.124,0.488,0.14,0.3,0.036,0.632,0,0
"2",1,0,0.46,0.004,0.336,0,0.012,0,0,0
"3",2,0.308,1,0.984,1,0.988,0.624,0.944,1,1
"4",3,0.612,0.16,0.308,0.516,0.068,0.012,0.396,0.144,0
"5",4,0.432,0.22,0.752,0.58,0.068,0.564,0.456,0.684,0
"6",5,0.236,0.332,0.612,0.604,0.328,0.548,0.432,0.364,0.012
"7",6,0,0.44,0.012,0,0,0.504,0.136,0.304,0
"8",7,0.856,0.98,0.976,0.648,0.1,0.144,0.96,0.844,0.004
"9",8,0.076,0,0.044,0.012,0.096,0.02,0,0,0
"10",9,0,0,0,0,0,0,0.464,0.404,0
"11",10,0.016,0,0.112,0.12,0,0,0.008,0,0
"12",11,0.836,0,0,0,0,0,0,0,0
"13",12,0.928,0.992,0.952,0.836,0.952,0.384,0.98,1,0.02
"14",13,0.02,0.048,0.368,0,0,0,0.004,0,0.004
"15",14,0.028,0.848,0.308,0.124,0.224,0.66,0,0.028,0
"16",15,0.004,0.004,0.008,0.004,0.016,0.728,0.144,0,0
"17",16,0,0.312,0.144,0.044,0.04,0.02,0.008,0,0
"18",17,0,0.016,0.388,0.124,0,0.004,0,0,0
"19",18,0,0.036,0,0.236,0.048,0.14,0.452,0,0
"20",19,0,0,0,0.216,0.016,0.004,0.608,0.368,0
"21",20,0.008,0.2,0,0,0.016,0.408,0.108,0,0
"22",21,0,0.112,0.02,0.012,0.068,0.128,0.544,0.016,0
"23",22,0,0.016,0.044,0,0,0.044,0,0.08,0
"24",23,0.096,0.072,0.788,0.676,0.9,0.664,0.776,1,0.004
"25",24,0.356,0.784,0.604,0.496,0.556,0.684,0.256,0.588,0.036
"26",25,1,0.712,0.5,0.216,1,1,1,0.016,0.104
"27",26,0.5,0.36,0,0,0,0,0,0,0
"28",27,0,0.548,0.364,0,0.036,0,0.004,0.408,0
"29",28,0.012,0.052,0.008,0,0.008,0.092,0.476,0,0
"30",29,0,0.052,0.268,0.512,0.496,0.032,0.408,0,0
"31",30,0.68,1,0.336,0.02,0.1,0.516,0.828,1,0.064
"32",31,0,0,0,0.092,0.048,0,0,0.752,0
"33",32,0.804,0.832,0.612,0.5,0.796,0.688,0.564,0.964,0.004
"34",33,0.124,0,0,0.376,0,0.568,0,0,0
"35",34,0.036,0.144,0,0.024,0,0.092,0.076,0,0
"36",35,0.932,0.892,0.892,0.212,0.684,0.704,0.6,1,0.996
"37",36,0,0,0,0,0.744,0.032,0,0.848,0
"38",37,0,0.016,0.948,0.532,0.008,0.004,0.348,0,0
"39",38,0,0.388,0.012,0,0.856,0.932,1,0.468,0
"40",39,0.44,0.556,0.408,0.356,0.26,0.356,0.624,0.016,0.096
"41",40,0.516,0.06,0.46,0,0.416,0.428,0.048,0.144,0
"42",41,0.58,1,0.776,0.024,0.984,1,0.656,1,0.004
"43",42,0.2,0.16,0.884,0.1,0.628,0.252,0.024,0.652,0
"44",43,0.108,0.312,0.16,0.084,0.04,0.492,0.008,0,0
"45",44,0,0.004,0,0.524,0.072,0.008,0.44,0.048,0
"46",45,0.056,0.716,0.356,0.992,0.088,0.344,0.668,1,0
"47",46,0,0.348,0.164,0.34,0.688,0.372,0.012,0.868,0
"48",47,0,0.004,0.452,0.712,0.328,0.424,0,0,0
"49",48,0.036,0.54,0.076,0.556,0.064,0.064,0.28,0.052,0
"50",49,0.532,0.508,0.54,0.368,0.68,0.836,0.636,0.744,0.26
"51",50,0.732,0.408,0.004,0.06,0.484,0.036,0.252,0,0
"52",51,1,0.968,0.016,0.032,0.168,0.94,0.888,0,0
"53",52,0.004,0.716,0,0.54,0,0,0.004,0,0
"54",53,0.292,0.916,1,0.088,0.844,0.912,1,1,0.156
"55",54,0.108,0.272,0.016,0.308,0.344,0.36,0.012,0.016,0
"56",55,0.524,0.88,0.068,0.82,0.952,0.46,0.416,0.884,0
"57",56,0.096,0.52,0.076,0.004,0.052,0.808,0.536,0,0
"58",57,0.712,0.008,0.008,0.064,0.668,0.008,0.004,0,0
"59",58,0,0.128,0.44,0.26,0,0.112,0.336,0.012,0
"60",59,0,0.824,0.512,0.008,0.08,0.628,0.108,0.908,0
"61",60,0,0.152,0.588,0.084,0.032,0.46,0.812,0.992,0
