"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,0.004,0,0.312,0.512,0,0,0.5,0.004
"2",1,0,0.764,0.008,0,0.14,0,0,0,0
"3",2,1,1,1,0,1,1,1,1,1
"4",3,0.18,0,0.024,0.024,0,0.752,0.112,0,1
"5",4,1,0,0,0.964,0.832,0.112,0.032,0.64,0.004
"6",5,0.324,0.472,0.488,0.736,0.232,0.872,0.168,0.008,0.016
"7",6,0,0,0,0.008,0,0.136,0,0,0
"8",7,1,0.992,0.004,1,0,0.572,0.6,0.576,0.068
"9",8,0,0,0,0,0,0,0.776,0.644,0.852
"10",9,0,0,0,0,0,0,0,0,0
"11",10,0.864,0,0,0,0,0,0,0.064,0
"12",11,0,0.864,0,0.992,0,0,0,0,0
"13",12,1,0.008,1,1,1,1,0.536,0.008,1
"14",13,0,0,0,0.06,0,0,0.012,0,0
"15",14,1,0,0.004,0.24,0,0.08,0,0,0
"16",15,0,0,0,0.908,0.292,0.848,0,0,0
"17",16,0,0,0,0,0.3,0,0,0,0.632
"18",17,0,0.864,0,0,0,0,0,0,0
"19",18,0,0,0.108,0,0,0,0,0,0
"20",19,0,0,0,0.924,0,0.66,0,0,0
"21",20,0.812,0,0,0,0,0,0.012,0,0
"22",21,0.02,0,0,0.64,0,0,0,0,0
"23",22,0.876,0,0,0,0,0.028,0,0.328,0
"24",23,0,1,0.544,0,0.996,0.828,0.708,0,0.016
"25",24,0.984,0.2,0.54,0.016,0.868,0.076,0.956,0.064,0.996
"26",25,1,1,0,1,0.368,1,1,1,1
"27",26,0,0,0,0,0,0,0,0,0
"28",27,0,0.012,0,0,0,0.044,0.004,0.06,0
"29",28,0,0,0,0.432,0,0,0,0,0
"30",29,0,0,0,0,0.764,0.524,0,0.6,0
"31",30,1,0,1,0.988,0,1,1,1,0.012
"32",31,0,0,0,0,0,0,0,0,0
"33",32,0.792,0.98,1,0.92,0.996,0.496,0.824,0.076,0.82
"34",33,0,0,0,0,0,0,0.884,0,0
"35",34,0,0,0,0,0,0,0.012,0,0
"36",35,1,0.26,1,0.988,0.244,0.656,1,1,1
"37",36,0,0,0,0,0,0,0,0.18,0.012
"38",37,0,0,0.724,0.512,0,0.92,0,0,0.988
"39",38,0,0,0,1,0.012,0,0,0,0
"40",39,0.48,0.22,0.356,0.016,0,0,0.004,0.416,0.04
"41",40,0,0,0.92,0.96,0,0.776,0.064,0.076,0
"42",41,0.08,0,1,0.984,0.188,1,0.976,1,1
"43",42,1,0,0.892,0,0,0,1,0.996,0
"44",43,0,0,0.144,0,0,0,0,0.024,0
"45",44,0,0.004,0,0,0,0,0,0,0
"46",45,0.364,1,0,0,0,0.18,1,0.34,0
"47",46,1,1,0.308,0.32,0,0.98,0.004,0,0.852
"48",47,0,0,0.884,0.3,0,0,0.18,0,0
"49",48,0,0.568,0,0.02,0.008,0,0,0,0.276
"50",49,0.952,0.984,0.824,0.748,0.752,0.892,0.972,0.992,0.98
"51",50,0,0.084,0,0.052,0.112,0.108,0,0,0
"52",51,0,0,0.256,0,0,0.968,0.696,0,0
"53",52,0,0.728,0,0.004,0,0,0,0,0
"54",53,1,0.516,0,1,0.412,0.556,1,1,1
"55",54,0.172,0.024,0.008,0.124,0,0,0.004,0.016,0
"56",55,0,1,1,1,1,0.664,0.032,0.94,0
"57",56,0,0,0.728,0,0.464,0.544,0,0.084,0
"58",57,0.996,0,0,0,0,0,0.016,0,0
"59",58,0,0,0,0,0,0,0,0,0.004
"60",59,0,0.004,0.9,1,0.944,0.032,0,0.064,0
"61",60,0,0.676,0,0,0,0,1,0,0
"62",61,0.804,1,1,1,0.996,0.628,1,1,1
"63",62,0.156,1,0.984,1,1,1,0.004,1,1
"64",63,0.16,0,0.056,0.008,0.012,0.824,0.704,0,0.736
"65",64,0,0.052,0.428,0,0,0.04,0.112,0,0.136
"66",65,0,0,0.74,0,0,0,0,0,0
"67",66,0,0.004,0,0,0,0,0,0.004,0.956
"68",67,0,0,0,0,0.088,0,0,0,0.008
"69",68,1,1,1,1,1,1,1,0.012,0.048
"70",69,1,0.136,1,1,1,0.08,0.972,0.944,1
"71",70,0,0.196,0,1,1,1,1,1,0
"72",71,1,1,1,1,1,0.504,1,1,1
"73",72,0.512,0.192,0,0,0,0.144,0.128,0,0.076
"74",73,0,0.824,0,0,0,0,0,0.428,0
"75",74,0.58,0,0,0,0.012,0.116,0,0,0.008
"76",75,0.28,1,0,0,0,0,0,0,0.012
"77",76,0,0,0,0,0,0,0,0,0
"78",77,0,0.004,0,0,0,0.064,0,0,0
"79",78,0,0,0,0,0,0,0.748,0.956,0
"80",79,0,0,0,0,0,0,0,0,0.004
"81",80,0.092,0.448,0.008,0,0,0,0.04,0.044,0
"82",81,0,0,0.956,0,0.372,0,0,0,0
"83",82,0,0,0.008,0.968,0.18,0,0.068,0,0.02
"84",83,0,0,0.004,0,0,0,0.86,0,0.012
"85",84,1,1,0.776,1,0.82,1,0.964,0,1
"86",85,0,0,0,0.6,0.176,0,0,0,0
"87",86,0.244,0,0,0,0.02,0,0,0,0
"88",87,1,0.036,0,0,0,1,0,0,1
"89",88,0,0,0,0,0,0,0,0.152,1
"90",89,1,1,1,0,0.604,1,1,1,0.912
"91",90,1,1,1,0.348,1,1,1,1,1
"92",91,0,0.46,0.948,0.004,0.104,0.008,0.004,0.02,0.672
"93",92,0,0,0.06,0,0,0,0,0.972,0
"94",93,0.776,0,0,0.088,0,0.524,0,0,0.004
"95",94,0,0,0,0,0,0.588,1,0.372,0
"96",95,0,0.004,0,0.96,0,0,0,0,0
"97",96,0.54,0,0,0.008,0.928,0.752,0,0,0
"98",97,0.408,0.02,0.064,0.792,0.008,0.052,0.108,0.544,0.348
"99",98,0.084,0,0,0,0,0,0,0,0.036
"100",99,0,1,0,0.968,1,0,0.668,1,1
