"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,0.496,0.516,0.508,0.436,0.496,0.436,0.66,0.012
"2",1,0,0.5,0.496,0.432,0.456,0.344,0.236,0,0
"3",2,1,0.516,0.532,0.52,0.512,0.672,0.508,0.972,0
"4",3,0,0.512,0.548,0.532,0.584,0.512,0.664,0,0
"5",4,0.536,0.52,0.352,0.62,0.612,0.392,0.524,0.976,0
"6",5,0.416,0.516,0.5,0.524,0.548,0.576,0.532,0.144,0
"7",6,0,0.152,0.208,0.34,0.512,0.424,0.276,0,0
"8",7,0.996,0.612,0.58,0.456,0.552,0.804,0.9,1,0
"9",8,0,0.436,0.496,0.436,0.448,0.496,0.404,0,0
"10",9,0,0.516,0.516,0.42,0.396,0.168,0.424,0.448,0
"11",10,0,0.284,0.4,0.432,0.268,0.392,0.56,0.204,0
"12",11,0,0.484,0.52,0.404,0.184,0.464,0.492,0,0
"13",12,1,0.48,0.7,0.584,0.432,0.288,0.536,1,0
"14",13,0,0.344,0.412,0.264,0.156,0.084,0.472,0.892,0
"15",14,0.492,0.48,0.156,0.512,0.484,0.532,0.552,1,0
"16",15,0,0.504,0.432,0.54,0.476,0.412,0.556,0.724,0
"17",16,0,0.312,0.484,0.488,0.56,0.564,0.536,0,0
"18",17,0.004,0.208,0.24,0.444,0.432,0.452,0.5,0,0
"19",18,0,0.444,0.512,0.472,0.452,0.46,0.488,0.14,0.008
"20",19,0,0.416,0.396,0.5,0.444,0.508,0.504,0.944,0
"21",20,0,0.468,0.416,0.212,0.496,0.504,0.512,1,0
"22",21,0,0.54,0.54,0.616,0.348,0.484,0.46,0.428,0
"23",22,0,0.152,0.456,0.288,0.544,0.536,0.532,0.996,0
"24",23,1,0.612,0.632,0.508,0.532,0.48,0.476,0,0
"25",24,0.816,0.472,0.524,0.508,0.524,0.532,0.504,0.008,0
"26",25,1,0.124,0.912,0.364,0.708,0.572,0.516,0.996,0
"27",26,0,0.384,0.368,0.232,0.44,0.232,0.428,0.908,0
"28",27,0,0.432,0.468,0.468,0.468,0.444,0.544,0.104,0
"29",28,0,0.408,0.496,0.508,0.372,0.132,0.468,1,0
"30",29,0,0.5,0.42,0.408,0.456,0.528,0.356,0,0
"31",30,0.996,0.516,0.44,0.644,0.856,0.544,0.408,1,0
"32",31,0,0.492,0.476,0.396,0.452,0.38,0.56,0,0
"33",32,0.956,0.544,0.504,0.504,0.576,0.564,0.588,0.792,0
"34",33,0,0.228,0.24,0.416,0.156,0.34,0.364,0.996,0
"35",34,0,0.36,0.304,0.536,0.468,0.528,0.224,0,0
"36",35,1,0.564,0.472,0.664,0.472,0.584,0.532,1,0
"37",36,0,0.504,0.584,0.476,0.068,0.544,0.132,1,0
"38",37,0,0.596,0.428,0.5,0.3,0.484,0.464,1,0
"39",38,0,0.076,0.468,0.692,0.476,0.304,0.488,1,0
"40",39,0.016,0.472,0.484,0.48,0.512,0.46,0.536,0.396,0.008
"41",40,0,0.228,0.484,0.508,0.392,0.448,0.612,0,0
"42",41,1,0.592,0.544,0.612,0.664,0.456,0.5,0.872,0
"43",42,0,0.652,0.688,0.224,0.384,0.664,0.536,0.016,0
"44",43,0,0.468,0.512,0.516,0.46,0.356,0.448,0.548,0
"45",44,0,0.548,0.336,0.52,0.316,0.264,0.408,0.4,0
"46",45,0,0.516,0.612,0.588,0.608,0.344,0.672,0.988,0
"47",46,0,0.44,0.512,0.436,0.464,0.528,0.512,0.916,0
"48",47,0,0.524,0.532,0.268,0.04,0.392,0.32,0.948,0
"49",48,0,0.436,0.564,0.544,0.504,0.448,0.568,0.852,0
"50",49,0.764,0.564,0.496,0.6,0.492,0.528,0.5,0.416,0.004
"51",50,0,0.288,0.496,0.524,0.436,0.52,0.548,0,0
"52",51,0.952,0.224,0.52,0.552,0.572,0.476,0.476,0.996,0
"53",52,0,0.156,0.456,0.62,0.212,0.408,0.36,1,0
"54",53,1,0.44,0.672,0.62,0.468,0.664,0.252,0,0
"55",54,0,0.54,0.532,0.536,0.56,0.54,0.508,0.612,0
"56",55,0.548,0.568,0.504,0.516,0.58,0.604,0.184,0.528,0
"57",56,0.012,0.512,0.444,0.464,0.48,0.536,0.56,0,0
"58",57,0,0.284,0.12,0.52,0.528,0.3,0.548,0.904,0
"59",58,0,0.22,0.564,0.584,0.516,0.412,0.34,0.812,0
"60",59,0,0.604,0.536,0.6,0.432,0.404,0.44,1,0
"61",60,1,0.44,0.516,0.468,0.528,0.6,0.512,0,0
"62",61,1,0.544,0.596,0.536,0.552,0.612,0.6,1,0.008
"63",62,1,0.58,0.464,0.936,0.86,0.664,0.544,1,0
"64",63,0.432,0.516,0.512,0.544,0.6,0.492,0.512,0.928,0
"65",64,0,0.492,0.584,0.436,0.32,0.488,0.436,0.02,0
"66",65,0,0.58,0.488,0.484,0.036,0.404,0.504,0.92,0
"67",66,0,0.592,0.512,0.5,0.42,0.5,0.496,0.828,0
"68",67,0,0.508,0.492,0.548,0.488,0.504,0.344,0.552,0.012
"69",68,1,0.86,0.524,0.512,0.428,0.44,0.804,0.024,0
"70",69,1,0.508,0.476,0.488,0.444,0.48,0.804,0.88,0
"71",70,0.968,0.62,0.612,0.612,0.268,0.532,0.404,1,0
"72",71,1,0.756,0.48,0.496,0.94,0.536,0.596,1,0
"73",72,0,0.456,0.448,0.46,0.512,0.468,0.544,0.708,0
"74",73,0,0.56,0.252,0.288,0.328,0.248,0.376,0.632,0
"75",74,0,0.324,0.412,0.508,0.436,0.476,0.536,0.1,0.016
"76",75,0,0.444,0.408,0.432,0.216,0.472,0.44,0,0
"77",76,0,0.516,0.396,0.536,0.512,0.536,0.48,0.324,0.02
"78",77,0,0.52,0.504,0.524,0.472,0.46,0.464,0,0
"79",78,0,0.436,0.372,0.568,0.46,0.452,0.172,0.996,0
"80",79,0,0.54,0.44,0.416,0.332,0.468,0.404,0.004,0
"81",80,0,0.48,0.464,0.448,0.296,0.504,0.476,0,0
"82",81,0,0.424,0.444,0.52,0.288,0.324,0.488,0.992,0
"83",82,0,0.536,0.416,0.508,0.508,0.48,0.488,0.82,0
"84",83,0,0.512,0.532,0.608,0.416,0.5,0.5,0.304,0
"85",84,1,0.608,0.528,0.628,0.648,0.5,0.528,0.344,0
"86",85,0,0.456,0.44,0.532,0.504,0.448,0.444,0,0
"87",86,0,0.396,0.492,0.124,0.396,0.26,0.528,0.544,0
"88",87,0.004,0.288,0.66,0.564,0.796,0.516,0.576,1,0
"89",88,0,0.236,0.316,0.476,0.56,0.556,0.444,0,0
"90",89,1,0.676,0.532,0.66,0.508,0.628,0.58,1,0
"91",90,1,0.888,0.576,0.42,0.692,0.536,0.772,1,0
"92",91,0.024,0.488,0.528,0.448,0.548,0.54,0.532,0.46,0
"93",92,0,0.62,0.6,0.332,0.444,0.588,0.544,1,0
"94",93,0,0.488,0.532,0.512,0.424,0.52,0.508,0.472,0
"95",94,1,0.58,0.524,0.552,0.248,0.348,0.748,0,0
"96",95,0,0.224,0.5,0.512,0.352,0.548,0.488,1,0
"97",96,0,0.564,0.532,0.5,0.532,0.492,0.624,0.848,0
"98",97,0.008,0.488,0.496,0.476,0.436,0.492,0.504,0.464,0.032
"99",98,0.98,0.644,0.36,0.656,0.548,0.368,0.512,0,0
"100",99,1,0.36,0.68,0.492,0.624,0.556,0.532,0.96,0
